"crime_id","crime_name","case_id"
"7215","贩卖毒品罪","3689"
"7216","贩卖毒品罪","3690"
"7217","贩卖毒品罪","3691"
"7218","贩卖毒品罪","3692"
"7219","贩卖毒品罪","3693"
"7220","贩卖毒品罪","3694"
"7221","贩卖毒品罪","3695"
"7222","贩卖毒品罪","3696"
"7223","运输毒品罪","3696"
"7224","容留他人吸毒罪","3696"
"7225","运输毒品罪","3697"
"7226","贩卖毒品罪","3697"
"7227","贩卖毒品罪","3698"
"7228","贩卖毒品罪","3699"
"7229","贩卖毒品罪","3700"
"7230","贩卖毒品罪","3701"
"7231","贩卖毒品罪","3702"
"7232","贩卖毒品罪","3703"
"7233","贩卖毒品罪","3704"
"7234","贩卖毒品罪","3705"
"7235","贩卖毒品罪","3706"
"7236","贩卖毒品罪","3707"
"7237","贩卖毒品罪","3708"
"7238","贩卖毒品罪","3709"
"7239","贩卖毒品罪","3710"
"7240","贩卖毒品罪","3711"
"7241","贩卖毒品罪","3712"
"7242","贩卖毒品罪","3713"
"7243","贩卖毒品罪","3714"
"7244","贩卖毒品罪","3715"
"7245","运输毒品罪","3716"
"7246","贩卖毒品罪","3717"
"7247","贩卖毒品罪","3718"
"7248","贩卖毒品罪","3719"
"7249","贩卖毒品罪","3720"
"7250","贩卖毒品罪","3721"
"7251","贩卖毒品罪","3722"
"7252","贩卖毒品罪","3723"
"7253","贩卖毒品罪","3724"
"7254","贩卖毒品罪","3725"
"7255","贩卖毒品罪","3726"
"7256","贩卖毒品罪","3727"
"7257","贩卖毒品罪","3728"
"7258","贩卖毒品罪","3729"
"7259","贩卖毒品罪","3730"
"7260","贩卖毒品罪","3731"
"7261","贩卖毒品罪","3732"
"7262","贩卖毒品罪","3733"
"7263","贩卖毒品罪","3734"
"7264","贩卖毒品罪","3735"
"7265","贩卖毒品罪","3736"
"7266","贩卖毒品罪","3737"
"7267","贩卖毒品罪","3738"
"7268","贩卖毒品罪","3739"
"7269","贩卖毒品罪","3740"
"7270","贩卖毒品罪","3741"
"7271","贩卖毒品罪","3742"
"7272","贩卖毒品罪","3743"
"7273","贩卖毒品罪","3744"
"7274","贩卖毒品罪","3745"
"7275","贩卖毒品罪","3746"
"7276","贩卖毒品罪","3747"
"7277","贩卖毒品罪","3748"
"7278","贩卖毒品罪","3749"
"7279","贩卖毒品罪","3750"
"7280","贩卖毒品罪","3751"
"7281","贩卖毒品罪","3752"
"7282","贩卖毒品罪","3753"
"7283","贩卖毒品罪","3754"
"7284","贩卖毒品罪","3755"
"7285","贩卖毒品罪","3756"
"7286","贩卖毒品罪","3757"
"7287","贩卖毒品罪","3758"
"7288","贩卖毒品罪","3759"
"7289","贩卖毒品罪","3760"
"7290","贩卖毒品罪","3761"
"7291","贩卖毒品罪","3762"
"7292","贩卖毒品罪","3763"
"7293","贩卖毒品罪","3764"
"7294","贩卖毒品罪","3765"
"7295","贩卖毒品罪","3766"
"7296","贩卖毒品罪","3767"
"7297","贩卖毒品罪","3768"
"7298","贩卖毒品罪","3769"
"7299","贩卖毒品罪","3770"
"7300","贩卖毒品罪","3771"
"7301","贩卖毒品罪","3772"
"7302","贩卖毒品罪","3773"
"7303","贩卖毒品罪","3774"
"7304","贩卖毒品罪","3775"
"7305","贩卖毒品罪","3776"
"7306","贩卖毒品罪","3777"
"7307","贩卖毒品罪","3778"
"7308","容留他人吸毒罪","3778"
"7309","贩卖毒品罪","3779"
"7310","贩卖毒品罪","3780"
"7311","贩卖毒品罪","3781"
"7312","贩卖毒品罪","3782"
"7313","贩卖毒品罪","3783"
"7314","贩卖毒品罪","3784"
"7315","贩卖毒品罪","3785"
"7316","容留他人吸毒品罪","3785"
"7317","贩卖毒品罪","3786"
"7318","贩卖毒品罪","3787"
"7319","贩卖毒品罪","3788"
"7320","贩卖毒品罪","3789"
"7321","容留他人吸毒罪","3789"
"7322","贩卖毒品罪","3790"
"7323","贩卖毒品罪","3791"
"7324","贩卖毒品罪","3792"
"7325","贩卖毒品罪","3793"
"7326","贩卖毒品罪","3794"
"7327","贩卖毒品罪","3795"
"7328","贩卖毒品罪","3796"
"7329","贩卖毒品罪","3797"
"7330","贩卖毒品罪","3798"
"7331","贩卖毒品罪","3799"
"7332","贩卖毒品罪","3800"
"7333","盗窃罪","3800"
"7334","贩卖毒品罪","3801"
"7335","贩卖毒品罪","3802"
